,sentence,sentence_annotation,intent,action,scenario,labels
0,siri what is one american dollar in japanese yen,siri what is one [currency_name : american dollar] in [currency_name : japanese yen],qa_currency,currency,qa,51
1,how many unread emails do i have,how many unread emails do i have,email_query,query,email,15
2,order me chinese food,order me [food_type : chinese] food,takeaway_order,order,takeaway,64
3,does the nearby chinese restaurant do delivery,does the nearby [food_type : chinese] [business_type : restaurant] do [order_type : delivery],takeaway_query,query,takeaway,65
4,remove pepper from my grocery list,remove pepper from my [list_name : grocery] list,lists_remove,remove,lists,37
5,the weather updated to the using spb weatherit either updates forecasts from intellicast or weathercom both rather poor for my site,the weather updated to the using spb weatherit either updates forecasts from intellicast or weathercom both rather poor for my site,weather_query,query,weather,70
6,drop it from list,drop it from list,lists_remove,remove,lists,37
7,is there any program for tomorrow evening,is there any program for [date : tomorrow] [timeofday : evening],calendar_query,query,calendar,6
8,which flags ride is the best,which flags ride is the best,recommendation_events,events,recommendation,58
9,call raju phone number,call [person : raju] [personal_info : phone number],email_querycontact,querycontact,email,16
10,wake me up at ten,wake me up at [time : ten],alarm_set,set,alarm,2
11,send an email to all my co workers,send an email to all my [relation : co workers],email_sendemail,sendemail,email,17
12,when defining words give thesaurus and use in a sentence to make it clearer,when defining words give thesaurus and use in a sentence to make it clearer,general_quirky,quirky,general,21
13,tell me about morel mushrooms,tell me about [definition_word : morel mushrooms],qa_definition,definition,qa,52
14,schedule a meeting with my colleague,schedule a [event_name : meeting] with my [relation : colleague],calendar_set,set,calendar,8
15,open some cools jokes,open some [joke_type : cools] jokes,general_joke,joke,general,20
16,please let me know the morning alarm time for weekdays,please let me know the [timeofday : morning] alarm time for [date : weekdays],alarm_query,query,alarm,0
17,when are the meetings,when are the [event_name : meetings],calendar_query,query,calendar,6
18,play the most current episode of levin,play the [podcast_descriptor : most current episode] of [podcast_name : levin],play_podcasts,podcasts,play,47
19,save the information which is provided by aman on this song,save the information which is provided by [artist_name : aman] on this song,music_likeness,likeness,music,40
20,turn on the vacuum,turn on the [device_type : vacuum],iot_cleaning,cleaning,iot,25
21,this article is super cool can you share the link to facebook for me,this article is super cool can you share the link to [media_type : facebook] for me,social_post,post,social,62
22,is there life on other planets,is there life on other planets,general_quirky,quirky,general,21
23,how is the traffic situation in houston street,how is the traffic situation in [place_name : houston street],transport_traffic,traffic,transport,69
24,what is your mother language,what is your mother language,general_quirky,quirky,general,21
25,i want to hear some jazz,i want to hear some [music_genre : jazz],play_music,music,play,46
26,play next song,play next song,music,music,play,38
27,when are the trains running tomorrow,when are the trains running [date : tomorrow],calendar_query,query,calendar,6
28,delete the last line,delete the last line,lists_remove,remove,lists,37
29,please mark my calendar for a holiday in cuba on april two,please mark my calendar for a [event_name : holiday] in [place_name : cuba] on [date : april two],calendar_set,set,calendar,8
30,stock prices at walmart,stock prices at [business_name : walmart],qa_stock,stock,qa,55
31,what alarms are upcoming,what alarms are upcoming,alarm_query,query,alarm,0
32,what is it today,what is it [date : today],datetime_query,query,datetime,13
33,my facebook update in every three hour should be available,my [media_type : facebook] update in [general_frequency : every three hour] should be available,social_query,query,social,63
34,good assistants,good assistants,news_query,query,news,43
35,resume audio book history of rome,[player_setting : resume] audio book [audiobook_name : history of rome],play_audiobook,audiobook,play,44
36,remove a list,remove a list,lists_remove,remove,lists,37
37,lets have a break for five minutes,lets have a [player_setting : break] for [time : five minutes],play_audiobook,audiobook,play,44
38,tweet complaint to samsung,[media_type : tweet] complaint to [business_name : samsung],social_post,post,social,62
39,what is a fjord,what is a [place_name : fjord],qa_factoid,factoid,qa,53
40,get me an uber,get me an [transport_agency : uber],transport_taxi,taxi,transport,67
41,ask my adviser,ask my adviser,qa_stock,stock,qa,55
42,find a definition,find a definition,qa_definition,definition,qa,52
43,add my upcoming meeting to my calendar,add my upcoming [event_name : meeting] to my calendar,calendar_set,set,calendar,8
44,go to my favorite radio channel,go to my favorite radio channel,play_radio,radio,play,48
45,set an alarm for five thirty,set an alarm for [time : five thirty],alarm_set,set,alarm,2
46,please pull up the article on dog sitting in the morning news,please pull up the article on [news_topic : dog] sitting in the [media_type : morning news],news_query,query,news,43
47,ask a restaurant in my area,ask a [business_type : restaurant] in my area,recommendation_locations,locations,recommendation,59
48,order a double bacon cheeseburger with bacon an white american cheese,order a double [food_type : bacon cheeseburger] with [food_type : bacon] an white [food_type : american cheese],takeaway_order,order,takeaway,64
49,did i get any new emails today from claire,did i get any new emails [date : today] from [person : claire],email_query,query,email,15
50,please open my fm radio and play nine hundred and eighty seven,please open my [radio_name : fm radio] and play [radio_name : nine hundred and eighty seven],play_radio,radio,play,48
51,is the twenty third of april a saturday,is [date : the twenty third of april] a saturday,datetime_query,query,datetime,13
52,include an item to a list,include an item to a list,lists_createoradd,createoradd,lists,35
53,let me know what's accumulated in my inbox since three pm,let me know what's accumulated in my [email_folder : inbox] since [time : three pm],email_query,query,email,15
54,skip to next podcast,skip to [podcast_descriptor : next podcast],podcasts,podcasts,play,49
55,has sally fields ever won an academy award,has [person : sally fields] ever won an academy award,qa_factoid,factoid,qa,53
56,reply mail,reply mail,email_sendemail,sendemail,email,17
57,hey olly order two wings with french fries from the chinese food store,hey olly order two [food_type : wings with french fries] from the [business_name : chinese food store],takeaway_order,order,takeaway,64
58,google the word,google the word,qa_definition,definition,qa,52
59,olly what is the time in zimbabwe right now,olly what is the time in [place_name : zimbabwe] right now,datetime_query,query,datetime,13
60,tell me one euro equals dollars,tell me one [currency_name : euro] equals [currency_name : dollars],qa_currency,currency,qa,51
61,how many cups are in a quart,how many cups are in a [time : quart],cooking_recipe,recipe,cooking,11
62,show me the top rated podcasts,show me the [podcast_descriptor : top rated] podcasts,play_podcasts,podcasts,play,47
63,what is it like outside,what is it like outside,weather_query,query,weather,70
64,can you pull up a recipe for spaghetti,can you pull up a recipe for [food_type : spaghetti],cooking_recipe,recipe,cooking,11
65,hey check emails,hey check emails,email_query,query,email,15
66,play good mythical morning podcast,play [podcast_name : good mythical morning] podcast,play_podcasts,podcasts,play,47
67,how's the restaurant's delivery going,how's the [business_type : restaurant's] [order_type : delivery] going,takeaway_query,query,takeaway,65
68,clean the flat,clean the [house_place : flat],iot_cleaning,cleaning,iot,25
69,get news from bbc news,get news from [media_type : bbc news],news_query,query,news,43
70,change my room lights so that i can get a good sleep,change my room lights so that i can get a [color_type : good sleep],iot_hue_lightchange,hue_lightchange,iot,27
71,add event baseball practice five pm tonight,add event [event_name : baseball practice] [time : five pm] [timeofday : tonight],calendar_set,set,calendar,8
72,how big is japan,how big is [place_name : japan],qa_factoid,factoid,qa,53
73,do you like my girlfriend,do you like my [relation : girlfriend],general_quirky,quirky,general,21
74,move to the next episode,move to the [podcast_descriptor : next episode],play_podcasts,podcasts,play,47
75,weather on tuesday,weather on [date : tuesday],weather_query,query,weather,70
76,what is on november twenty,what is on [date : november twenty],calendar_query,query,calendar,6
77,create a new list of,create a new list of,lists_createoradd,createoradd,lists,35
78,i had a horrible service at olive garden i need to tweet them,i had a horrible service at [business_name : olive garden] i need to [media_type : tweet] them,social_post,post,social,62
79,continue playing my audiobook,continue playing my [media_type : audiobook],play_audiobook,audiobook,play,44
80,wakey wakey eggs and bakey,wakey wakey eggs and bakey,general_quirky,quirky,general,21
81,set a reminder for next saturday go to the library at five o'clock,set a reminder for next [date : saturday] go to the [place_name : library] at [time : five] o'clock,calendar_set,set,calendar,8
82,change light colour to blue,change light colour to [color_type : blue],iot_hue_lightchange,hue_lightchange,iot,27
83,have i received any email since five pm,have i received any email since [time : five pm],email_query,query,email,15
84,will it rain,will it [weather_descriptor : rain],query,query,weather,56
85,lower your volume please,lower your volume please,audio_volume_down,volume_down,audio,3
86,is my order at domino's ready,is my order at [business_name : domino's] ready,takeaway_query,query,takeaway,65
87,pause the audiobook,[player_setting : pause] the [media_type : audiobook],play_audiobook,audiobook,play,44
88,next alarm,next alarm,alarm_query,query,alarm,0
