id,sentences,personality,tone,special_words
1,"Good morning, I am writing to inquire about the status of my application.",2,1,"application, status, inquire"
2,"Hey, what's up? I'm just chilling, watching some TV.",7,9,"chilling, TV"
3,I'm extremely disappointed with the service I received. It was unacceptable.,8,4,"disappointed, unacceptable, service"
4,Please find attached the document you requested. Let me know if you have any questions.,3,2,"document, requested, attached"
5,"OMG, that movie was totally awesome! I loved it!",9,10,"awesome, movie, OMG"
6,I am writing to express my gratitude for your assistance. It was greatly appreciated.,1,2,"gratitude, assistance, appreciated"
7,"Yo, I'm gonna grab some pizza. You want any?",6,9,"pizza, yo"
8,Your behavior is unprofessional and disrespectful. I expect an apology.,9,3,"unprofessional, disrespectful, apology"
9,The data analysis reveals a significant correlation between variables X and Y.,2,1,"data analysis, correlation, variables"
10,"Man, that coding challenge was a real pain!",7,8,"coding, challenge, pain"
11,I am pleased to inform you that your proposal has been accepted.,1,1,"proposal, accepted, inform"
12,"Dude, that party was epic! We should do it again sometime.",8,9,"epic, party, dude"
13,I find your comments to be offensive and uncalled for.,8,4,"offensive, uncalled, comments"
14,Kindly review the attached report and provide your feedback at your earliest convenience.,3,2,"report, feedback, review"
15,"Wow, that sunset is absolutely breathtaking!",9,10,"sunset, breathtaking, wow"
16,I would like to extend my sincere apologies for any inconvenience caused.,1,2,"apologies, inconvenience, extend"
17,"Sup, I'm heading to the gym. Wanna tag along?",6,9,"gym, sup, tag"
18,Your lack of punctuality is becoming increasingly frustrating.,9,3,"punctuality, frustrating, lack"
19,The statistical significance of the findings is undeniable.,2,1,"statistical, significance, findings"
20,"Ugh, this traffic is driving me crazy!",7,8,"traffic, crazy, ugh"
21,It is with great regret that I must decline your invitation.,1,2,"regret, decline, invitation"
22,"Bro, that concert was lit! The music was insane!",8,9,"lit, concert, bro"
23,I am appalled by your blatant disregard for the rules.,9,4,"appalled, disregard, rules"
24,Please ensure that all documents are submitted by the deadline.,3,2,"documents, deadline, submit"
25,"Yikes, that rollercoaster was terrifying but awesome!",9,10,"rollercoaster, terrifying, yikes"
26,I am writing to acknowledge receipt of your email and will respond shortly.,1,2,"receipt, email, acknowledge"
27,"Hey, I'm grabbing some coffee. You want anything?",6,9,"coffee, grabbing, hey"
28,Your constant interruptions are hindering my ability to work.,9,3,"interruptions, hindering, work"
29,The experimental results confirmed the hypothesis.,2,1,"experimental, results, hypothesis"
30,"Geez, this weather is so unpredictable!",7,8,"weather, unpredictable, geez"
31,I am writing to formally request a meeting to discuss this matter.,1,2,"request, meeting, discuss"
32,"Man, that game was intense! We almost won!",8,9,"game, intense, man"
33,I am disgusted by your unethical behavior.,9,4,"disgusted, unethical, behavior"
34,Please provide a detailed explanation for the discrepancy.,3,2,"explanation, discrepancy, detailed"
35,"Whoa, that magic trick was mind-blowing!",9,10,"magic, mind-blowing, whoa"
36,I am writing to express my sincere appreciation for your support.,1,2,"appreciation, support, express"
37,"Yo, I'm heading to the store. Need anything?",6,9,"store, yo, need"
38,Your constant complaining is becoming unbearable.,9,3,"complaining, unbearable, constant"
39,The economic forecast predicts a period of growth.,2,1,"economic, forecast, growth"
40,"Darn, I spilled coffee on my shirt!",7,8,"coffee, spilled, darn"
41,I am writing to inform you of the upcoming changes to the policy.,1,2,"changes, policy, inform"
42,"Dude, that joke was hilarious! I'm still laughing.",8,9,"joke, hilarious, dude"
43,I am outraged by your discriminatory remarks.,9,4,"outraged, discriminatory, remarks"
44,Please provide a comprehensive analysis of the situation.,3,2,"analysis, comprehensive, situation"
45,"Wow, that painting is absolutely stunning!",9,10,"painting, stunning, wow"
46,I am writing to acknowledge your feedback and will take it into consideration.,1,2,"feedback, consideration, acknowledge"
47,"Hey, I'm going for a walk. Wanna join?",6,9,"walk, join, hey"
48,Your constant negativity is draining my energy.,9,3,"negativity, draining, energy"
49,The geological survey revealed significant mineral deposits.,2,1,"geological, survey, mineral"
50,"Shoot, I forgot my keys!",7,8,"keys, forgot, shoot"
51,I am writing to request a refund for the defective product.,1,2,"refund, defective, product"
52,"Bro, that movie was a masterpiece! The acting was incredible.",8,9,"masterpiece, acting, bro"
53,I am appalled by your lack of professionalism.,9,4,"professionalism, lack, appalled"
54,Please provide a detailed itinerary for the trip.,3,2,"itinerary, trip, detailed"
55,"Yikes, that lightning storm was intense!",9,10,"lightning, intense, yikes"
56,I am writing to acknowledge your request and will process it accordingly.,1,2,"request, process, acknowledge"
57,"Yo, I'm grabbing some lunch. You want anything?",6,9,"lunch, grabbing, yo"
58,Your constant interruptions are making it impossible to concentrate.,9,3,"interruptions, concentrate, impossible"
59,The astronomical data indicates the presence of a black hole.,2,1,"astronomical, black hole, data"
60,"Ugh, this line is so long!",7,8,"line, long, ugh"
61,I am writing to express my dissatisfaction with the current situation.,1,2,"dissatisfaction, situation, express"
62,"Man, that concert was fire! The energy was insane.",8,9,"fire, concert, energy"
63,I am disgusted by your blatant lies and deceit.,9,4,"lies, deceit, disgusted"
64,Please provide a comprehensive summary of the meeting's key takeaways.,3,2,"summary, takeaways, meeting"
65,"Whoa, that fireworks display was spectacular!",9,10,"fireworks, spectacular, whoa"
66,I am writing to acknowledge your complaint and will investigate the matter further.,1,2,"complaint, investigate, acknowledge"
67,"Hey, I'm heading to the library. Need any books?",6,9,"library, books, hey"
68,Your constant complaining is making me want to leave.,9,3,"complaining, leave, constant"
69,The geological analysis revealed significant oil reserves.,2,1,"geological, oil, reserves"
70,"Shoot, I forgot my wallet!",7,8,"wallet, forgot, shoot"
71,I am writing to request a replacement for the damaged item.,1,2,"replacement, damaged, item"
72,"Bro, that game was legendary! We crushed them.",8,9,"legendary, game, crushed"
73,I am appalled by your lack of empathy and compassion.,9,4,"empathy, compassion, appalled"
74,Please provide a detailed budget breakdown for the project.,3,2,"budget, breakdown, project"
75,"Yikes, that earthquake was terrifying!",9,10,"earthquake, terrifying, yikes"
76,I am writing to acknowledge your payment and will process the order.,1,2,"payment, process, order"
77,"Yo, I'm grabbing some snacks. You want anything?",6,9,"snacks, grabbing, yo"
78,Your constant interruptions are hindering my progress.,9,3,"interruptions, progress, hindering"
79,The astronomical data indicates the existence of a new galaxy.,2,1,"astronomical, galaxy"
80,"Man, that game was a rollercoaster! We almost lost but pulled through.",8,9,"rollercoaster, pulled through, game"
81,I am disgusted by your unethical practices and deceptive tactics.,9,4,"unethical, practices, deceptive"
82,Please provide a detailed analysis of the competitor's strategies.,3,2,"analysis, competitor, strategies"
83,"Whoa, that magic show was mind-blowing! I'm still amazed.",9,10,"magic show, mind-blowing, amazed"
84,I am writing to acknowledge your request for information and will provide it shortly.,1,2,"request, information, acknowledge"
85,"Hey, I'm heading to the bookstore. Need any new reads?",6,9,"bookstore, reads, hey"
86,Your constant complaining is making me want to scream.,9,3,"complaining, scream, constant"
87,The environmental impact assessment revealed significant ecological damage.,2,1,"environmental, impact, ecological"
88,"Shoot, I forgot my phone!",7,8,"phone, forgot, shoot"
89,I am writing to request a full refund for the faulty equipment.,1,2,"refund, equipment, faulty"
90,"Bro, that movie was a masterpiece! The visuals were stunning.",8,9,"masterpiece, visuals, stunning"
91,I am appalled by your lack of professionalism and respect.,9,4,"professionalism, respect, appalled"
92,Please provide a detailed financial forecast for the next quarter.,3,2,"financial, forecast, quarter"
93,"Yikes, that avalanche was terrifying! I'm glad we're safe.",9,10,"avalanche, terrifying, safe"
94,I am writing to acknowledge your subscription and will send you the details.,1,2,"subscription, details, acknowledge"
95,"Yo, I'm grabbing some dessert. Any preferences?",6,9,"dessert, preferences, grabbing"
96,Your constant interruptions are making it impossible to concentrate on my task.,9,3,"interruptions, task, concentrate"
97,The scientific experiment revealed a new element.,2,1,"scientific, element, experiment"
98,"Ugh, this humidity is unbearable! I'm melting.",7,8,"humidity, melting, unbearable"
99,I am writing to formally request a meeting to discuss the proposed changes.,1,2,"request, changes, proposed"
100,"Man, that game was a thriller! We won in the last minute.",8,9,"thriller, minute, game"
101,I am disgusted by your unethical behavior and corrupt practices.,9,4,"unethical, corrupt, practices"
102,Please provide a detailed report on the customer satisfaction survey.,3,2,"report, satisfaction, survey"
103,"Whoa, that dance performance was mesmerizing! I couldn't take my eyes off.",9,10,"dance, mesmerizing, performance"
104,I am writing to acknowledge your request for assistance and will provide it promptly.,1,2,"request, assistance, promptly"
105,"Hey, I'm heading to the art gallery. Wanna join me for some culture?",6,9,"art gallery, culture, hey"
106,Your constant complaining is making me lose my sanity.,9,3,"complaining, sanity, lose"
107,The economic analysis revealed a significant market downturn.,2,1,"economic, downturn, market"
108,"Shoot, I forgot my laptop!",7,8,"laptop, forgot, shoot"
109,Your constant interruptions are making it impossible to finish this project.,9,3,"interruptions, project, finish"
110,The scientific data indicates a new species of insect.,2,1,"scientific, insect, species"
