subject,body,label
Flight Confirmation,This is a reminder for your dentist appointment scheduled next week.,not event
Special Offer Just for You,Important updates regarding our new policies. Please review them carefully.,not event
Exclusive Music Festival Invite,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Bill is Due Soon,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Subscription is Expiring,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Exclusive Music Festival Invite,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Special Offer Just for You,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Holiday Discount Codes,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Subscription is Expiring,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Workshop Registration,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Upcoming Tech Conference,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Upcoming Tech Conference,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Networking Event Invitation,Important updates regarding our new policies. Please review them carefully.,not event
Workshop Registration,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Networking Event Invitation,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Charity Event Details,Your subscription to our premium service is about to expire. Renew now.,not event
Networking Event Invitation,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Flight Confirmation,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Exclusive Music Festival Invite,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Special Offer Just for You,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Flight Confirmation,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Networking Event Invitation,This is a reminder for your dentist appointment scheduled next week.,not event
Webinar on AI Trends,Your recent order has been shipped and will arrive in 5-7 business days.,not event
New Policy Updates,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Holiday Discount Codes,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Upcoming Tech Conference,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Holiday Discount Codes,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Workshop Registration,This is a reminder for your dentist appointment scheduled next week.,not event
Workshop Registration,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Order Has Shipped,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Your Subscription is Expiring,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Special Offer Just for You,Important updates regarding our new policies. Please review them carefully.,not event
Flight Confirmation,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Bill is Due Soon,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Subscription is Expiring,Important updates regarding our new policies. Please review them carefully.,not event
New Policy Updates,Important updates regarding our new policies. Please review them carefully.,not event
Reminder: Appointment,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Order Has Shipped,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Workshop Registration,Your subscription to our premium service is about to expire. Renew now.,not event
Webinar on AI Trends,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Holiday Discount Codes,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Holiday Discount Codes,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Exclusive Music Festival Invite,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Your Order Has Shipped,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Your Bill is Due Soon,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Exclusive Music Festival Invite,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Charity Event Details,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Webinar on AI Trends,Important updates regarding our new policies. Please review them carefully.,not event
Reminder: Appointment,Important updates regarding our new policies. Please review them carefully.,not event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Networking Event Invitation,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Your Bill is Due Soon,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
New Policy Updates,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Workshop Registration,Your subscription to our premium service is about to expire. Renew now.,not event
Meeting Scheduled,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Webinar on AI Trends,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Upcoming Tech Conference,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Your Subscription is Expiring,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Special Offer Just for You,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Upcoming Tech Conference,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Flight Confirmation,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Your Order Has Shipped,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Your Bill is Due Soon,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Workshop Registration,Your subscription to our premium service is about to expire. Renew now.,not event
Exclusive Music Festival Invite,Join us for an exclusive music festival on July 25 at Central Park. Get your passes now!,event
Reminder: Appointment,This is a reminder for your dentist appointment scheduled next week.,not event
Charity Event Details,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Your Subscription is Expiring,We are thrilled to invite you to our annual Tech Conference happening on September 15 at the Grand Arena.,event
Reminder: Appointment,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Upcoming Tech Conference,This is a reminder for your dentist appointment scheduled next week.,not event
Your Subscription is Expiring,Important updates regarding our new policies. Please review them carefully.,not event
Your Subscription is Expiring,Your recent order has been shipped and will arrive in 5-7 business days.,not event
Networking Event Invitation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Holiday Discount Codes,This is a reminder for your dentist appointment scheduled next week.,not event
Special Offer Just for You,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Charity Event Details,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Exclusive Music Festival Invite,This is a reminder for your dentist appointment scheduled next week.,not event
Your Bill is Due Soon,Important updates regarding our new policies. Please review them carefully.,not event
New Policy Updates,Enjoy exclusive discounts on our holiday sales. Shop before it's too late!,not event
Flight Confirmation,The charity fundraiser gala is set for December 12 at The Ritz Hotel. Your presence would mean a lot.,event
Charity Event Details,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Exclusive Music Festival Invite,Your subscription to our premium service is about to expire. Renew now.,not event
Your Order Has Shipped,Attend our AI webinar on August 10 and learn the latest trends in artificial intelligence.,event
Charity Event Details,Important updates regarding our new policies. Please review them carefully.,not event
Flight Confirmation,This is a reminder for your dentist appointment scheduled next week.,not event
Your Order Has Shipped,Your subscription to our premium service is about to expire. Renew now.,not event
Reminder: Appointment,We are hosting a networking event on October 5 at The Business Hub. Don't miss it!,event
Exclusive Music Festival Invite,Your subscription to our premium service is about to expire. Renew now.,not event
Networking Event Invitation,Important updates regarding our new policies. Please review them carefully.,not event
